city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
irara,br,-8,-8,79,95,0,14
port shepstone,za,-30,-30,61,96,0,5
kodar,in,16,16,74,97,100,6
sulmona,it,42,42,80,57,0,5
yongan,cn,39,39,60,100,92,2
rossland,ca,49,49,73,43,40,2
sainte-maxime,fr,43,43,81,48,0,9
blagoyevo,ru,63,63,65,77,64,2
santa marinella,it,42,42,84,61,20,18
cukai,my,4,4,79,94,44,2
castelldefels,es,41,41,82,69,20,5
fatezh,ru,52,52,66,67,56,8
los alamos,us,35,35,77,36,1,3
moses lake,us,47,47,74,33,1,10
massena,us,44,44,78,38,20,5
ingham,au,-18,-18,69,97,68,8
mfou,cm,3,3,71,100,40,2
tual,id,-5,-5,79,100,56,18
sazonovo,ru,54,54,67,66,24,7
jever,de,53,53,61,63,75,12
satipo,pe,-11,-11,73,79,20,2
cartagena del chaira,co,1,1,80,81,80,2
quatre cocos,mu,-20,-20,71,88,75,11
tutoia,br,-2,-2,84,79,75,10
wloszczowa,pl,50,50,70,48,0,8
norfolk,us,36,36,75,83,90,13
khor,qa,47,47,57,88,80,2
pont-a-mousson,fr,48,48,79,39,0,13
kendari,id,-3,-3,72,88,92,1
angol,cl,-37,-37,51,100,90,3
acacias,co,5,5,79,62,36,2
tekari,in,24,24,86,79,40,9
conway,us,35,35,85,55,75,4
mbekenyera,tz,-10,-10,74,62,44,5
khajuraho,in,24,24,82,70,92,3
bozeman,us,45,45,77,44,1,2
kraslava,lv,55,55,70,61,76,14
kalianget,id,-7,-7,70,100,0,4
makakilo city,us,21,21,77,88,75,8
kapiri mposhi,zm,-13,-13,58,69,0,10
jaru,br,-10,-10,96,18,0,3
mongar,bt,27,27,70,96,76,1
xiaolingwei,cn,32,32,77,94,75,8
alghero,it,40,40,78,57,0,10
boralday,kz,43,43,73,46,40,4
nueva helvecia,uy,-34,-34,51,100,90,17
nayagarh,in,20,20,75,98,56,3
ardakan,ir,32,32,95,6,0,2
luoyang,cn,34,34,77,76,68,3
yerofey pavlovich,ru,53,53,63,69,64,6
mackay,au,53,53,66,48,75,11
sabae,jp,35,35,69,100,75,10
grenfell,ca,-33,-33,41,94,92,14
kerrobert,ca,51,51,75,53,20,16
semey,kz,50,50,72,43,64,7
healdsburg,us,38,38,75,41,1,10
kasangulu,cd,-4,-4,79,69,0,2
camocim,br,-2,-2,83,73,64,9
amursk,ru,50,50,57,83,8,3
moroni,km,39,39,83,23,88,3
novaya igirma,ru,57,57,49,79,44,3
trapani,it,38,38,77,78,40,6
meyzieu,fr,45,45,82,32,0,13
bontang,id,0,0,80,100,0,8
narva-joesuu,ee,59,59,65,77,32,7
mariental,na,52,52,73,38,0,13
ritto,jp,35,35,70,98,92,0
tyret pervaya,ru,53,53,52,92,68,8
mae hong son,th,19,19,71,99,100,1
greenwood,us,34,34,76,78,90,6
sarh,td,9,9,78,88,56,2
dzhebariki-khaya,ru,62,62,64,71,0,2
djougou,bj,9,9,82,65,20,5
calbuco,cl,-41,-41,51,81,75,4
trat,th,12,12,76,100,92,5
dourbali,td,11,11,83,79,32,0
rondonopolis,br,-16,-16,90,32,0,9
uniontown,us,39,39,71,38,1,5
cabra,ph,37,37,96,18,0,5
mau,in,25,25,83,83,8,6
kerrville,us,30,30,87,43,75,9
omsukchan,ru,62,62,52,50,24,3
henderson,us,36,36,100,18,1,13
shagonar,ru,51,51,45,86,0,4
langxiang,cn,46,46,55,84,64,2
florence,us,34,34,81,69,40,4
tougan,bf,13,13,92,51,0,5
chingola,zm,-12,-12,58,61,8,6
orchard homes,us,46,46,75,33,1,9
barao de melgaco,br,-16,-16,91,21,0,8
ojinaga,mx,29,29,88,36,0,8
wainwright,ca,52,52,65,56,92,15
drexel heights,us,32,32,99,18,1,9
playas,ec,-2,-2,77,90,36,5
mayo,ca,63,63,57,62,90,3
madona,lv,56,56,67,76,80,8
ranot,th,7,7,79,81,32,7
franklin,us,35,35,79,69,75,4
yuanping,cn,38,38,61,99,92,1
tefe,br,-3,-3,77,88,75,6
fomboni,km,-12,-12,79,97,0,14
